name,price,link
Hey Dude Women's Wendy Chambray,45..00,https://www.amazon.com/Hey-Dude-Chambray-Comfortable-Light-Weight/dp/B0B9YSWJBJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-8
adidas Men's Daily 3.0 Sneaker,49..52,https://www.amazon.com/adidas-Daily-Skate-Black-White/dp/B07ZSCB1ZB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-9
adidas Men's Grand Court 2.0,53..00,https://www.amazon.com/adidas-Grand-Court-Tennis-White/dp/B09DXWQ15R/ref=sr_1_10?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-10
Skechers Women's Summits Sneaker,34..50,https://www.amazon.com/Skechers-Sport-Womens-Summits-Sneaker/dp/B076TBMWBZ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-11
PUMA Men's Tazon 6 Cross Trainer,54..17,https://www.amazon.com/PUMA-Tazon-White-Silver-Running/dp/B01G3LZ5NG/ref=sr_1_12?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-12
adidas Women's Grand Court 2.0 Tennis Shoe,49..49,https://www.amazon.com/adidas-Womens-Tennis-Platin-Metallic/dp/B09DXTQ9L6/ref=sr_1_13?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-13
PUMA Men's Axelion Cross Trainer,40..99,https://www.amazon.com/PUMA-Mens-Axelion-Running-Black-Castlerock/dp/B08KKVTB76/ref=sr_1_14?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-14
New Balance Men's 997H V1,83..00,https://www.amazon.com/New-Balance-CM997HCA-Classic-Pack/dp/B07BL31491/ref=sr_1_15?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-15
Skechers Women's Squad Sr Food Service Shoe,44..97,https://www.amazon.com/Skechers-Womens-Squad-Service-black/dp/B073WGYKPB/ref=sr_1_16?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-16
Skechers Men's Go Walk Max Effort,41..99,https://www.amazon.com/Skechers-Performance-Max-54601-Sneaker-black/dp/B072NFDZ8K/ref=sr_1_17?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-17
